x,y,z,n1,n2,n3
1,2.375,24,0.39,0.92,-0.0
1,2.375,25,0.39,0.92,-0.0
0,2.8,25,-0.37,-0.86,-0.35
0,2.4,26,-0.37,-0.86,-0.35
1,2.375,25,-0.37,-0.86,-0.35
0,2.4,26,0.48,0.74,0.46
1,2.375,25,0.48,0.74,0.46
1,1.75,26,0.48,0.74,0.46
0,2.4,26,-0.38,-0.59,0.71
0,3.6,27,-0.38,-0.59,0.71
1,1.75,26,-0.38,-0.59,0.71
0,3.6,27,0.43,0.6,-0.67
1,1.75,26,0.43,0.6,-0.67
1,2.875,27,0.43,0.6,-0.67
0,3.6,27,-0.58,-0.8,0.16
0,3.8,28,-0.58,-0.8,0.16
1,2.875,27,-0.58,-0.8,0.16
0,3.8,28,0.72,0.69,0.09
1,2.875,27,0.72,0.69,0.09
1,2.75,28,0.72,0.69,0.09
0,3.8,28,-0.72,-0.69,-0.03
0,3.75,29,-0.72,-0.69,-0.03
1,2.75,28,-0.72,-0.69,-0.03
0,3.75,29,0.28,0.8,-0.52
1,2.75,28,0.28,0.8,-0.52
1,3.4,29,0.28,0.8,-0.52
1,4.4,0,-0.78,-0.49,-0.38
1,3.625,1,-0.78,-0.49,-0.38
2,2.8,0,-0.78,-0.49,-0.38
1,3.625,1,0.52,0.84,-0.17
2,2.8,0,0.52,0.84,-0.17
2,3.0,1,0.52,0.84,-0.17
1,3.625,1,-0.45,-0.72,-0.54
1,2.875,2,-0.45,-0.72,-0.54
2,3.0,1,-0.45,-0.72,-0.54
1,2.875,2,0.61,0.44,0.66
2,3.0,1,0.61,0.44,0.66
2,1.5,2,0.61,0.44,0.66
1,2.875,2,-0.81,-0.59,0.0
1,2.875,3,-0.81,-0.59,0.0
2,1.5,2,-0.81,-0.59,0.0
1,2.875,3,0.74,0.66,-0.16
2,1.5,2,0.74,0.66,-0.16
2,1.75,3,0.74,0.66,-0.16
1,2.875,3,-0.74,-0.66,-0.16
1,2.625,4,-0.74,-0.66,-0.16
2,1.75,3,-0.74,-0.66,-0.16
1,2.625,4,0.7,0.7,0.09
2,1.75,3,0.7,0.7,0.09
2,1.625,4,0.7,0.7,0.09
1,2.625,4,-0.7,-0.7,-0.09
1,2.5,5,-0.7,-0.7,-0.09
2,1.625,4,-0.7,-0.7,-0.09
