x,y,z,n1,n2,n3
0.2,1.125,3.8000000000000003,-0.09,-0.24,-0.97
0.0,0.4,4.0,-0.96,0.27,0.0
0.2,1.125,3.8000000000000003,-0.96,0.27,0.0
0.2,1.125,4.0,-0.96,0.27,0.0
0.0,0.4,4.0,0.66,-0.18,0.73
0.0,1.2,4.2,0.66,-0.18,0.73
0.2,1.125,4.0,0.66,-0.18,0.73
0.0,1.2,4.2,-0.64,0.23,-0.73
0.2,1.125,4.0,-0.64,0.23,-0.73
0.2,1.75,4.2,-0.64,0.23,-0.73
0.0,1.2,4.2,0.94,-0.34,0.0
0.0,1.2,4.4,0.94,-0.34,0.0
0.2,1.75,4.2,0.94,-0.34,0.0
0.0,1.2,4.4,-0.93,0.23,-0.29
0.2,1.75,4.2,-0.93,0.23,-0.29
0.2,2.0,4.4,-0.93,0.23,-0.29
0.0,1.2,4.4,0.7,-0.17,0.7
0.0,2.0,4.6000000000000005,0.7,-0.17,0.7
0.2,2.0,4.4,0.7,-0.17,0.7
0.0,2.0,4.6000000000000005,0.0,1.0,-0.0
0.2,2.0,4.4,0.0,1.0,-0.0
0.2,2.0,4.6000000000000005,0.0,1.0,-0.0
0.0,2.0,4.6000000000000005,0.0,-0.71,-0.71
0.0,1.8,4.800000000000001,0.0,-0.71,-0.71
0.2,2.0,4.6000000000000005,0.0,-0.71,-0.71
0.0,1.8,4.800000000000001,0.15,0.62,0.77
0.2,2.0,4.6000000000000005,0.15,0.62,0.77
0.2,1.75,4.800000000000001,0.15,0.62,0.77
0.0,1.8,4.800000000000001,-0.08,-0.32,-0.95
0.0,1.2,5.0,-0.08,-0.32,-0.95
0.2,1.75,4.800000000000001,-0.08,-0.32,-0.95
0.0,1.2,5.0,-0.38,0.44,0.82
0.2,1.75,4.800000000000001,-0.38,0.44,0.82
0.2,1.375,5.0,-0.38,0.44,0.82
0.0,1.2,5.0,0.27,-0.3,-0.91
0.0,0.6,5.2,0.27,-0.3,-0.91
0.2,1.375,5.0,0.27,-0.3,-0.91
0.0,0.6,5.2,-0.94,0.29,0.18
0.2,1.375,5.0,-0.94,0.29,0.18
0.2,1.25,5.2,-0.94,0.29,0.18
0.0,0.6,5.2,0.72,-0.22,0.66
0.0,1.2,5.4,0.72,-0.22,0.66
0.2,1.25,5.2,0.72,-0.22,0.66
0.0,1.2,5.4,0.3,0.81,0.51
0.2,1.25,5.2,0.3,0.81,0.51
0.2,1.125,5.4,0.3,0.81,0.51
0.0,1.2,5.4,-0.26,-0.68,-0.68
0.0,1.0,5.6000000000000005,-0.26,-0.68,-0.68
0.2,1.125,5.4,-0.26,-0.68,-0.68
0.0,1.0,5.6000000000000005,-0.73,0.58,-0.36
0.2,1.125,5.4,-0.73,0.58,-0.36
0.2,1.25,5.6000000000000005,-0.73,0.58,-0.36
0.0,1.0,5.6000000000000005,0.49,-0.39,0.78
0.0,1.4,5.800000000000001,0.49,-0.39,0.78
0.2,1.25,5.6000000000000005,0.49,-0.39,0.78
0.0,1.4,5.800000000000001,-0.54,0.31,-0.78
0.2,1.25,5.6000000000000005,-0.54,0.31,-0.78
0.2,1.75,5.800000000000001,-0.54,0.31,-0.78
0.0,1.4,5.800000000000001,0.78,-0.44,0.44
0.0,1.6,6.0,0.78,-0.44,0.44
0.2,1.75,5.800000000000001,0.78,-0.44,0.44
0.0,1.6,6.0,0.54,0.31,0.78
0.2,1.75,5.800000000000001,0.54,0.31,0.78
0.2,1.25,6.0,0.54,0.31,0.78
0.0,1.6,6.0,-0.32,-0.19,-0.93
0.0,0.6,6.2,-0.32,-0.19,-0.93
0.2,1.25,6.0,-0.32,-0.19,-0.93
0.0,0.6,6.2,-0.94,0.21,-0.26
0.2,1.25,6.0,-0.94,0.21,-0.26
0.2,1.5,6.2,-0.94,0.21,-0.26
0.0,0.6,6.2,0.9,-0.2,0.4
0.0,1.0,6.4,0.9,-0.2,0.4
0.2,1.5,6.2,0.9,-0.2,0.4
0.0,1.0,6.4,-0.28,0.45,0.85
0.2,1.5,6.2,-0.28,0.45,0.85
0.2,1.125,6.4,-0.28,0.45,0.85
0.0,1.0,6.4,0.4,-0.65,0.65
0.0,1.2,6.6000000000000005,0.4,-0.65,0.65
0.2,1.125,6.4,0.4,-0.65,0.65
0.0,1.2,6.6000000000000005,0.71,0.44,0.55
0.2,1.125,6.4,0.71,0.44,0.55
0.2,0.875,6.6000000000000005,0.71,0.44,0.55
0.0,1.2,6.6000000000000005,-0.46,-0.28,0.84
0.0,1.8,6.800000000000001,-0.46,-0.28,0.84
0.2,0.875,6.6000000000000005,-0.46,-0.28,0.84
0.0,1.8,6.800000000000001,0.79,0.29,-0.54
0.2,0.875,6.6000000000000005,0.79,0.29,-0.54
0.2,1.25,6.800000000000001,0.79,0.29,-0.54
0.0,1.8,6.800000000000001,-0.66,-0.24,0.72
0.0,2.4,7.0,-0.66,-0.24,0.72
0.2,1.25,6.800000000000001,-0.66,-0.24,0.72
0.0,2.4,7.0,0.88,0.23,-0.42
0.2,1.25,6.800000000000001,0.88,0.23,-0.42
0.2,1.625,7.0,0.88,0.23,-0.42
0.0,2.4,7.0,-0.97,-0.25,0.0
0.0,2.4,7.2,-0.97,-0.25,0.0
0.2,1.625,7.0,-0.97,-0.25,0.0
0.0,2.4,7.2,0.85,0.33,-0.41
0.2,1.625,7.0,0.85,0.33,-0.41
0.2,1.875,7.2,0.85,0.33,-0.41
0.0,2.4,7.2,-0.88,-0.34,-0.34
0.0,2.2,7.4,-0.88,-0.34,-0.34
0.2,1.875,7.2,-0.88,-0.34,-0.34
0.0,2.2,7.4,0.23,0.61,-0.76
0.2,1.875,7.2,0.23,0.61,-0.76
0.2,2.125,7.4,0.23,0.61,-0.76
0.0,2.2,7.4,-0.09,-0.24,-0.97
0.0,1.4,7.6000000000000005,-0.09,-0.24,-0.97
0.2,2.125,7.4,-0.09,-0.24,-0.97
0.0,1.4,7.6000000000000005,0.03,0.26,0.97
0.2,2.125,7.4,0.03,0.26,0.97
0.2,1.375,7.6000000000000005,0.03,0.26,0.97
0.0,1.4,7.6000000000000005,-0.06,-0.45,-0.89
0.0,1.0,7.800000000000001,-0.06,-0.45,-0.89
0.2,1.375,7.6000000000000005,-0.06,-0.45,-0.89
0.0,1.0,7.800000000000001,-0.88,0.47,0.0
0.2,1.375,7.6000000000000005,-0.88,0.47,0.0
0.2,1.375,7.800000000000001,-0.88,0.47,0.0
0.0,1.0,7.800000000000001,0.8,-0.43,0.43
0.0,1.2,8.0,0.8,-0.43,0.43
0.2,1.375,7.800000000000001,0.8,-0.43,0.43
0.0,1.2,8.0,-0.66,0.75,0.0
0.2,1.375,7.800000000000001,-0.66,0.75,0.0
0.2,1.375,8.0,-0.66,0.75,0.0
0.0,1.2,8.0,0.66,-0.75,0.0
0.0,1.2,8.200000000000001,0.66,-0.75,0.0
0.2,1.375,8.0,0.66,-0.75,0.0
0.0,1.2,8.200000000000001,-0.66,0.75,0.0
0.2,1.375,8.0,-0.66,0.75,0.0
0.2,1.375,8.200000000000001,-0.66,0.75,0.0
0.0,1.2,8.200000000000001,0.53,-0.6,0.6
0.0,1.4,8.4,0.53,-0.6,0.6
